exchange_idx,OBSID,student_text,teacher_text,gold_is_otr,gold_elicitation_type,gold_response_type,gold_cognitive_depth,pred_is_otr,pred_elicitation_type,pred_response_type,pred_cognitive_depth
208_714,208,And then you make six.,You want me to make six?,yes,individual,verbal,authentic,yes,individual,verbal,test
165_119,165,Maybe put ’em in groups about how popular they are.,"About the popularity of that candy.  Okay, what else can we look at?   What else can we think about, to think outside the box?  Come out your box.  Okay, we know about the colors.  We know about the flavors.  We know that we’re gonna sit and count them and group them, but say we were doing – first of all, what could we take to find out about Skittles?",yes,individual,verbal,test,yes,choral,verbal,authentic
4206_153,4206,You build 6 of them.,6 what?,yes,individual,verbal,test,yes,individual,verbal,test
1020_37,1020,Is she 5 years old?,"Yes she is.  That was a great question.  Good job.  What does that mean, Student T?  Listen to Student T.  Let him explain.  Everything is pennies.  You need to listen to the directions.  This is all pennies.  These are 5 pennies.  We don’t have enough pennies for us all to use.  Pretend these are pennies.  Now let me say it again.  I see people changing out their pennies for the actual dimes, quarters, and nickels.  While it’s wonderful that you know how to do that, that’s not the point.  I know what I said.  Don’t interrupt me.  What did I say?  Go ahead, Student A.",yes,individual,verbal,test,yes,individual,verbal,test
2205_242,2205,"I agree with finding the factors, like breaking the numbers down, breaking the numbers down from the number, like getting all the prime numbers and –",So I think that – this is what I’m hearing.  I’m saying that it has to do with breaking numbers apart into prime numbers. So breaking a number apart – you should be writing this – into –,no,,,,yes,choral,production,test
600_99,600,Oh so it’s just like perimeter?,Except you’re…,no,,,,no,,,
989_340,989,Is that what it looks like?,Are we ready? Wait a second we gotta wait for Student A. Student A what’s 7 times 4?,yes,individual,verbal,test,yes,individual,verbal,test
761_399,761,The number in the middle from least to greatest.,From least to what?,no,,,,yes,individual,verbal,test
838_3,838,"No, my dad told me.","You’re dad told you?  Very nice.  All right.  So, look up the definition of ‘expression’.  Chapter 3.  Where’s your journal?  Get your journal out.  You can use the glossary, or you can use the highlighted words in the chapter. Either one. Clear your desk of each time, so your mind can think.  That’s why I always have you stay organized.  Are you going to use the highlighted words in Chapter 3?  Or, are you going to use the glossary?",yes,individual,verbal,authentic,yes,choral,verbal,authentic
4534_54,4534,As long as it’s closed and has straight sides.,"What about if I draw something like this?  Let me get my pen back.  What if I draw something like this?  This doesn’t want to go.  Watch this.  Don’t say it.  How many of you say yes that is a polygon?  How many of you say no, it is not a polygon?  It is a polygon.",maybe,choral,gestural,test,yes,choral,gestural,test
933_284,933,We’re supposed to add the table.,"Where’s the table?  Put your finger on the table.  So, you don’t need to do anything else.  Don’t go making more work for yourself.  Copy Lee’s table.  Do exactly as what it says.  Go ahead.  No need to be copying the works.  All right, good, Steven.  Nicole.",maybe,individual,gestural,test,yes,individual,verbal,test
4426_7,4426,The thing that goes underneath it?,"It should be in the packet.  It’s like the last page, I believe.  All right, there should be a question mark. Okay.  So basically when you’re adding fractions and subtracting fractions, it’s just like adding and subtracting whole numbers except for you’re just talking about parts of a whole because that’s essentially what fractions are, all right? But I do want to go ahead and talk a little bit first.  It’s kind of like talking about things, okay?  And what I’d like to do is talk about our whole.  So if you could go ahead, and we’re going to model them first and then we’re going to talk a little bit more work with them.  But if you will take out your whole in your fraction kits, we’ll work with these because this is Singapore.  And what I would like you to do is I would like you to show me eight eighths. You’re missing one eighth?  You’re missing one eighth?  Okay. I really like the way, Student M, you’re really showing it to me in a way that I can see two eighths.  I would really love to see how you can show me this.  Okay, Student J?",yes,individual,verbal,authentic,yes,individual,production,test
4243_24,4243,"1, 2, eyes on you.","What do we notice about those shapes, Student M?",yes,individual,verbal,test,yes,individual,verbal,authentic
4158_303,4158,Do we color the thing that we took away?,"You color two thirds and label that.  Guys, catch me if I change colors.  I want to change colors so badly.",no,,,,yes,choral,production,test
2677_210,2677,"You went up on the board, and you’re like, why did you do that? Because you told me to.","Yeah.  You need to know why you’re doing what you’re doing, and every once in a while I’m coming in and throwing in a comment to see if you know why you’re doing what you’re doing.  I want you to be confident and say Mrs. J, PEMDAS tells me that whatever is in the parenthesis, whatever operation is there, that has to be done first, okay?  Then I bring these numbers down.  You all with me?",yes,choral,"verbal, gestural",authentic,yes,choral,verbal,test
2262_65,2262,Sophie has 8 stickers and she wants to give 2 to each of her friends.  How many of her friends will Sophie be able to give stickers to?,"Okay.  What are the two pieces of information that you need? What two numbers are you going to be working with in that first division story?  How many sticker sheets do you have? 8.  How many sheets are you going to give to each person? 2.  How many friends will you be able to give stickers to? Student A, look up here.  You told me 8 and 2 were the important pieces of information.  Okay.  We’re saying we have 8 sticker sheets divided by 2 per person.  How many people will receive sticker sheets?  Raise your hand, please.  Student J?",yes,individual,verbal,test,yes,individual,verbal,test
2380_152,2380,I used 9 plus 11 equals 20 minus 8 equals 12.,That’s another way to do it with three numbers.  How many numbers?,yes,individual,verbal,test,yes,individual,verbal,test
2512_267,2512,I did it from biggest to smallest.,"I see that.  Now, you know you didn’t have to do that, right?",yes,individual,verbal,authentic,no,,,
4243_162,4243,That it’s a triangle.,We know what a triangle is.  It has three sides.  Is it straight sides?,yes,individual,verbal,test,yes,choral,verbal,test
4007_42,4007,Then cross out the 3 and the 2.,"I can’t take 8 from 0, so I have to borrow again.  Now I have 10 minus 8 which is 2.  What’s wrong, Student A?",yes,individual,verbal,authentic,yes,individual,verbal,authentic
4730_206,4730,I thought it was $9.05.,"No.  See, that’s because you made the mistake of – because what you did, I don’t know what you did exactly, but what you did was you counted 11 to 20 probably, and you know 11 plus 9 is 20, and then you just tacked the –",no,,,,no,,,
2768_69,2768,The things on the ceiling.,Good job.  Parallel lines.  The grid on the ceiling.  I can’t believe how many we have already and we’re just in the room.  All right.  Student K?,maybe,individual,verbal,authentic,yes,individual,verbal,test
2141_344,2141,Is there going to be a remainder?,"Mm-hmm, there is. Yes.  A remainder can only be one number.  Oh, the quotient? What do you think the quotient is going to be?",yes,individual,verbal,test,yes,individual,verbal,test
4206_281,4206,"Like, two greens and – I want to make 8, right?",Mm-hmm.,no,,,,no,,,
4002_125,4002,Then I divided it here because I had no idea what it was.,"Student S did something I’m fine with, guys.  Group, you with me?  She said that she’s going to go ahead and divide this out just regularly and then deal with representing it with blocks.  So how do you represent 49 remainder 2?  Other group members, feel free to help out.",yes,"small group, peer directed","verbal, production",test,yes,small_group,verbal,test
69_11,69,I think she used the landmark number.,And what was her landmark number?,yes,individual,verbal,test,yes,individual,verbal,test
958_208,958,Negative three.  So five subtract three.,Great!,no,,,,no,,,
537_454,537,"No, because you’re going to keep on going.",Because it doesn’t go into 10.  Right?,maybe,individual,verbal,test,yes,choral,verbal,test
4562_694,4562,Times 20 is way too big?,How many is that?,yes,individual,verbal,test,yes,individual,verbal,test
207_199,207,One hundred twenty-five thousandths.,One hundred twenty-five thousandths is one way to say it.  But I love that you knew it was one tenth and that that reminded you of one fourth.  Student A?,maybe,individual,verbal,authentic,yes,individual,verbal,authentic
2661_54,2661,“Lines of latitude are measured in degrees.  Lines north of the equator are labeled and lines south of the equator are labeled as –,"So let’s back up and let’s read that correctly.  “Lines north of the equator are labeled, and when you see that little circle –",no,,,,yes,choral,verbal,test
208_108,208,Don’t we never add the denominator?,"We don’t add denominators, and we’re gonna think a little bit about why we don’t add up those denominators.  Maybe it’ll help if we take a look at some of our fractions here.  You have in front of you, in case you need it, your 4x6, but you may be able to do some of this on your own.  I want you to see.  Can we add –?  And I want you first to do it on your paper and I’m writing it this way.  Sometimes it’s easier to see our fraction.  You could do it on scrap, on your grid or in your notebook.  Can I add one-sixth and five-sixths?  And I want you to say and proof what is it and how can I add it.  Okay, hold it.  Hold on a second. I’m gonna give everyone a chance to try it.",yes,choral,production,test,yes,choral,verbal,authentic
756_57,756,"You did 15 plus 10 is 25, minus three is 22.","Okay, so the next one is what?",yes,individual,verbal,test,yes,individual,verbal,test
4425_244,4425,"Yeah, you could also do two fifths.","All right, on your bottom number, I don’t want two colors.  I want one color, Student S.  We’re trying to find a common denominator so we want one denominator that they have in common.  You sure that matches up?",yes,individual,verbal,test,yes,individual,verbal,test
